ticker,estrategia,date,price,action,signal_compra,signal_venta,had_position,entry_price,stop_loss,take_profit,trailing,reason,regime,mode,RSI,MACD,MACD_SIGNAL,ADX,PLUS_DI,MINUS_DI,ATR,STOCH_K,STOCH_D,REL_VOL,EMA20,EMA50,EMA200
KO,trend_follower,2025-11-05,67.1341,hold,False,False,False,,,,,,range,,50.9165,0.3725,0.5071,21.2666,22.6419,21.7869,0.9943,25.8125,33.0079,0.8043,67.1706,66.8075,66.3191
KO,trend_follower,2025-11-06,67.6731,hold,False,False,False,,,,,,range,,54.1943,0.3675,0.4792,20.237,22.8762,19.9425,1.0087,30.1501,29.7787,0.9857,67.2184,66.8415,66.3326
KO,trend_follower,2025-11-07,69.1332,hold,False,False,False,,,,,,range,,61.6637,0.4759,0.4785,20.8239,31.5386,17.5664,1.0633,43.266,33.0762,1.5223,67.4008,66.9313,66.3605
KO,trend_follower,2025-11-10,69.1038,hold,False,False,False,,,,,,range,,61.4463,0.5531,0.4934,21.3689,29.0281,16.1681,1.0728,60.1851,44.5338,0.9242,67.563,67.0165,66.3877
KO,trend_follower,2025-11-11,70.1719,hold,False,False,False,,,,,,range,,66.1173,0.6924,0.5332,22.6155,33.7686,14.8819,1.0822,80.593,61.348,0.9694,67.8114,67.1403,66.4254
KO,trend_follower,2025-11-12,70.0739,hold,False,False,False,,,,,,range,,65.3353,0.7859,0.5838,23.8589,33.4618,14.3328,1.0434,86.6052,75.7945,0.8107,68.0269,67.2553,66.4617
KO,trend_follower,2025-11-13,69.6427,hold,False,False,False,,,,,,range,,61.8676,0.8158,0.6302,24.5246,31.917,16.0139,1.0158,89.4028,85.5337,0.8382,68.1808,67.3489,66.4934
KO,trend_follower,2025-11-14,69.7309,hold,False,False,False,,,,,,range,,62.3083,0.8369,0.6715,24.5881,29.6302,17.6222,1.016,84.7913,86.9331,0.7941,68.3284,67.4424,66.5256
KO,trend_follower,2025-11-17,69.2605,hold,False,False,False,,,,,,range,,58.43,0.8064,0.6985,24.647,27.7563,16.5077,1.0071,78.2507,84.1482,0.8987,68.4172,67.5137,66.5528
KO,trend_follower,2025-11-18,69.7897,hold,False,False,False,,,,,,range,,61.3449,0.8156,0.7219,24.6265,26.2439,15.9621,0.9891,79.4327,80.8249,0.8339,68.5479,67.6029,66.585
